Month,Week since beginning,X,Y,Z,argos:altitude,argos:calcul-freq,argos:lat2,argos:lon2,argos:pass-duration,argos:sensor-1,argos:sensor-2,argos:sensor-3,individual-local-identifier,ECMWF Interim Full Daily SFC-FC Evaporation,ECMWF Interim Full Daily SFC Temperature (2 m above Ground),ECMWF Interim Full Daily SFC-FC Sunshine Duration,NCEP NARR SFC Visibility at Surface,ECMWF Interim Full Daily SFC Charnock Parameter,ECMWF Interim Full Daily PL V Velocity,ECMWF Interim Full Daily PL U Velocity,ECMWF Interim Full Daily SFC Total Cloud Cover,ECMWF Interim Full Daily SFC Surface Air Pressure,ECMWF Interim Full Daily SFC Total Atmospheric Water,ECMWF Interim Full Daily SFC Snow Temperature,NASA Distance to Coast (Signed),ECMWF Interim Full Daily SFC-FC Runoff,ECMWF Interim Full Daily SFC Ice Temperature at 0-7 cm,ECMWF Interim Full Daily SFC Soil Temperature at 1-7 cm,NCEP NARR SFC Snow Cover at Surface,ECMWF Interim Full Daily SFC Volumetric Soil Water Content at 1-7 cm
1.0,27.0,-0.42900559323369847,-0.055946160948704339,0.90156704719515235,0.0,401.65337003333337,60.453166666666675,-58.734000000000002,308.5,190.16666666666666,221.5,126.0,30,-0.00020999999999999998,251.26674949999997,0.0,12757.091678333332,0.018702944833333332,-15.195470258333332,-3.9290141628333335,0.94983615449999992,100260.63096666666,1.3272717441666668,257.79831625000003,1.8483714853333331,0.00013651666666666666,264.70135359999995,268.86894971666669,0.25707611299999999,0.19612958866666666
1.0,28.0,-0.42964670789253845,-0.055949348933010221,0.90126176944001901,0.0,401.65337447142855,69.761428571428581,-93.206857142857146,187.57142857142858,132.57142857142858,159.85714285714286,106.42857142857143,30,-0.00010272857142857144,253.51976374285715,0.0,2919.773634314286,0.01796796814285714,2.2179175812857141,4.7611204775714286,0.5007164982857143,98266.036997142844,1.7500589252857142,254.86627207142854,5.604355739571429,0.00018232857142857142,264.2001128428571,262.99528682857141,0.18102961714285715,0.18598591871428574
1.0,29.0,-0.42917321659907726,-0.055233657793788728,0.90153116067706096,0.0,401.65329811000004,68.985900000000015,9.384300000000005,301.39999999999998,140.30000000000001,156.0,109.90000000000001,30,-5.702e-05,249.82685423000004,0.0,867.43338018899999,0.0179999302,-5.530900901299999,-1.3548504019999998,0.94518119570000003,99425.412441000008,2.9868918367999995,252.13552842999997,3.5754932117000005,0.00020309999999999998,264.50778737999997,260.29331297000004,0.36562002469999999,0.20232695029999997
1.0,30.0,-0.42909813805698915,-0.055759155200939992,0.90153490007393844,0.0,401.65332544166671,68.621833333333328,-6.9532500000000015,230.33333333333334,119.5,133.58333333333334,93.916666666666671,30,2.5741666666666652e-06,271.151370525,0.0,1414.0943688116665,0.017999392083333333,-1.4200690550833333,-9.4153016035833321,0.99994131808333331,96770.106067500004,8.3783909589166665,270.14495418333337,2.0216394464166667,0.00031350000000000003,271.13037385833331,269.32979375833332,0.28375316558333336,0.23538248808333337
1.5,31.0,-0.42896593971114327,-0.055933744452036971,0.90158728843420888,0.0,401.65336980000001,69.090499999999992,-18.86099999999999,203.5,190.0,219.0,78.0,30,-0.00012215000000000001,259.42681850000002,310.2718577,920.98365200000001,0.017970818,-6.3172372834999999,-3.4439111330000003,0.88443184150000009,99416.754749999993,3.8287161350000001,261.47367514999996,0.97440145900000008,0.00012105,267.54297000000003,267.09897004999999,0.27010862199999996,0.23141930050000001
2.0,33.0,-0.42741209201497266,-0.057944194834328493,0.90219791253951753,0.0,401.65334937500006,78.375249999999994,68.964250000000007,258.75,190.5,215.5,176.5,30,6.4375000000000006e-05,271.65131794999996,0.0,494.84910695000002,0.019189088,1.0799257090000001,-7.1502244670000001,0.99998437249999994,98203.155147500001,10.910038477499999,269.71666012499998,2.1159274290000001,0.00062224999999999997,271.323056275,270.06080954999999,0.11534993075000001,0.20180443050000002
2.0,34.0,-0.42900075259810067,-0.057606435581242489,0.90146241374937264,0.0,401.65336783999999,63.0428,34.07119999999999,242.59999999999999,155.40000000000001,173.80000000000001,123.40000000000001,30,-0.0001894,264.23017257999999,0.0,1164.2874597,0.0199450202,-9.6290617887999979,-11.024051186000001,0.99974760979999999,100827.49161999999,6.2344163362000007,264.43988290000004,6.2807141827999997,4.9000000000000012e-05,268.96092232000001,268.36845782,0.1919783572,0.1951867474
2.5,35.0,-0.42899409915152992,-0.055777549915319774,0.90158351207536014,0.0,401.65331255000001,58.547499999999999,154.91550000000001,259.5,191.5,219.0,182.0,30,-0.00017530000000000001,253.3553201,9678.3313020000005,7594.1918295020005,0.017928167000000002,-4.0226611334999998,-3.4897042919999999,0.87574519900000003,97943.311549999999,1.8869448615,255.32809094999999,1.0062296100000001,0.0001215,265.753871,262.07048839999999,0.29377756650000003,0.25950619149999998
3.0,36.0,-0.42882165128995831,-0.055515492026182389,0.90168163835668258,0.0,401.65328825,64.963999999999999,144.8595,254.5,18.0,5.0,67.0,30,-0.000213,263.02186955000002,12856.373674999999,11507.6028085,0.0179999975,-11.280186835,-5.5470031275,0.79876873950000005,99053.865415000007,4.2439522409999997,262.09475544999998,0.28630795749999999,0.00010334999999999999,269.25326934999998,263.67513804999999,0.36049582200000002,0.26296958199999998
3.0,38.0,-0.43022025194405816,-0.05570003964535708,0.90100376300265028,0.0,401.65333989999999,69.344000000000008,-144.12899999999999,133.33333333333334,191.66666666666666,218.0,76.0,30,-5.7000000000000003e-05,259.5181823333333,12506.997166666668,19663.755066666668,0.018000510666666667,-2.0041580803333332,0.23511601133333335,0.5984514866666667,103389.82703333332,2.506863139,259.36549919999999,8.2790033806666674,3.6700000000000004e-05,266.2437485333333,260.43858589999996,0.14358726166666669,0.21622774866666669
